authors,author_sort,rating,library_name,timestamp,formats,size,isbn,identifiers,comments,tags,series,series_index,languages,title,cover,title_sort,publisher,pubdate,id,uuid
"Lewis Allen","Allen, Lewis","","temp","0101-01-01T02:00:00+02:00","epub","483917","","","","Katechismus, Predigen, Dienst, Spiritualität","","1.0","eng","The Preacher's Catechism","C:\Users\sever\Documents\temp\Lewis Allen\The Preacher's Catechism (11)\cover.jpg","Preacher's Catechism, The","Crossway","0101-01-01T02:00:00+02:00","11","bb009f16-1bf1-4a2e-b995-dde5a5309994"
"Michael Allen & Scott R. Swain","Allen, Michael & Swain, Scott R.","","temp","0101-01-01T02:00:00+02:00","epub","1072291","","","","Systematik, Dogmatik, Reformatorisch","","1.0","eng","Christian Dogmatics: Reformed Theology for the Church Catholic","C:\Users\sever\Documents\temp\Michael Allen\Christian Dogmatics_ Reformed Theolo (12)\cover.jpg","Christian Dogmatics: Reformed Theology for the Church Catholic","Baker Academic","0101-01-01T02:00:00+02:00","12","10ade25c-0b50-44d1-b6d9-dcc72cafe248"
"R. Michael Allen","Allen, R. Michael","","temp","0101-01-01T02:00:00+02:00","pdf","892849","","","","Reformatorisch","","1.0","eng","Reformed Theology","C:\Users\sever\Documents\temp\R. Michael Allen\Reformed Theology (13)\cover.jpg","Reformed Theology","T&T Clark","0101-01-01T02:00:00+02:00","13","b5eeb356-9532-4d99-9ce8-1d1124a3d639"
"Ronald J. Allen & O. Wesley Allen","Allen, Ronald J. & Allen, O. Wesley","","temp","0101-01-01T02:00:00+02:00","epub","1759922","","","","Predigen, Dienst, Gemeinde, Praktik, Erwachsenenbildung","","1.0","eng","The Sermon Without End: A Conversational Approach to Preaching","C:\Users\sever\Documents\temp\Ronald J. Allen\The Sermon Without End_ A Conversati (14)\cover.jpg","Sermon Without End: A Conversational Approach to Preaching, The","Abingdon Press","0101-01-01T02:00:00+02:00","14","fef499d9-918b-4a40-8caa-cd30b9d26270"
"Neil T. Anderson & Charles Mylander","Anderson, Neil T. & Mylander, Charles","","temp","0101-01-01T02:00:00+02:00","epub","2199494","","","","Leiterschaft, Dienst, Gemeinde, Sünde","","1.0","eng","Setting Your Church Free: A Biblical Plan for Corporate Conflict Resolution","C:\Users\sever\Documents\temp\Neil T. Anderson\Setting Your Church Free_ A Biblical (15)\cover.jpg","Setting Your Church Free: A Biblical Plan for Corporate Conflict Resolution","Baker Publishing Group","0101-01-01T02:00:00+02:00","15","440a6f4b-07c1-437e-8cbe-2d392e62faa4"
"Zoran Andonov","Andonov, Zoran","","temp","0101-01-01T02:00:00+02:00","epub","269671","","","","Historik, Kirchengeschichte, Glaube, Biografie","","1.0","deu","Verteidiger des Glaubens","C:\Users\sever\Documents\temp\Zoran Andonov\Verteidiger des Glaubens (16)\cover.jpg","Verteidiger des Glaubens","Asaph","0101-01-01T02:00:00+02:00","16","fe242f27-e2b4-4367-97f2-6fe409f3dc79"
"Uche Anizor & Hank Voss","Anizor, Uche & Voss, Hank","","temp","0101-01-01T02:00:00+02:00","epub","802438","","","","Systematik, Praktik, Dienst, Gemeinde, Priestertum aller Gläubigen","","1.0","eng","Representing Christ: A Vision for the Priesthood of All Believers","C:\Users\sever\Documents\temp\Uche Anizor\Representing Christ_ A Vision for th (17)\cover.jpg","Representing Christ: A Vision for the Priesthood of All Believers","InterVarsity Press","0101-01-01T02:00:00+02:00","17","023aea95-45b6-4afa-93f9-a2f0b0aaeaa4"
"Thomas von Aquin","Aquin, Thomas von","","temp","0101-01-01T02:00:00+02:00","pdf","18540850","","","","Kommentar, NT, Römer, Kirchengeschichte","","1.0","deu","Kommentar zum Römerbrief","C:\Users\sever\Documents\temp\Thomas von Aquin\Kommentar zum Romerbrief (18)\cover.jpg","Kommentar zum Römerbrief","Herder","0101-01-01T02:00:00+02:00","18","df197b86-42da-49d9-8e37-ca98301ffd8a"
"Gleason L. Archer","Archer, Gleason L.","","temp","0101-01-01T02:00:00+02:00","pdf","24013183","","","","Überblick, AT","","1.0","eng","A Survey of Old Testament Introduction","C:\Users\sever\Documents\temp\Gleason L. Archer\A Survey of Old Testament Introducti (19)\cover.jpg","Survey of Old Testament Introduction, A","Moody","0101-01-01T02:00:00+02:00","19","ba2d4b66-d78a-4a8c-82f0-a232b0468a90"
"Christopher Ash","Ash, Christopher","","temp","0101-01-01T02:00:00+02:00","epub","439252","","","","Seelsorge, Leid, Trauer, Hiob","","1.0","eng","Trusting God in the Darkness: A Guide to Understanding the Book of Job","C:\Users\sever\Documents\temp\Christopher Ash\Trusting God in the Darkness_ A Guid (20)\cover.jpg","Trusting God in the Darkness: A Guide to Understanding the Book of Job","Crossway","0101-01-01T02:00:00+02:00","20","06866aac-bb9c-462d-9510-2b42fd8b2aed"
"Christopher Ash","Ash, Christopher","","temp","0101-01-01T02:00:00+02:00","pdf","1419533","","","","Gemeinde, Predigen, Praktik, Spiritualität","","1.0","deu","Vom Ohr ins Herz: Predigten mit Gewinn hören","C:\Users\sever\Documents\temp\Christopher Ash\Vom Ohr ins Herz_ Predigten mit Gewi (21)\cover.jpg","Vom Ohr ins Herz: Predigten mit Gewinn hören","CLV","0101-01-01T02:00:00+02:00","21","0f7888a9-afaa-4212-863a-09f543cd472f"
"Christopher Ash","Ash, Christopher","","temp","0101-01-01T02:00:00+02:00","epub","3750104","","","","Sexualität, Ehe","","1.0","eng","How Should Christians Think About Sex?","C:\Users\sever\Documents\temp\Christopher Ash\How Should Christians Think About Se (22)\cover.jpg","How Should Christians Think About Sex?","Lexham","0101-01-01T02:00:00+02:00","22","85f8d93a-d847-4854-b883-14aeb3f62aaa"
"Christopher Ash","Ash, Christopher","","temp","0101-01-01T02:00:00+02:00","epub","913640","","","Dieses eBook habe ich gekauft.
","Burnout, Dienst, Praktik, Gemeinde","","1.0","deu","Leidenschaft ohne Burnout: Sieben Schlüssel eines lebenslangen Dienstes","C:\Users\sever\Documents\temp\Christopher Ash\Leidenschaft ohne Burnout_ Sieben Sc (23)\cover.jpg","Leidenschaft ohne Burnout: Sieben Schlüssel eines lebenslangen Dienstes","EBTC","0101-01-01T02:00:00+02:00","23","75c0a82b-142f-4001-b64c-2e3be7c1babf"
"Athanasius","Athanasius","","temp","0101-01-01T02:00:00+02:00","pdf","341404","","","","Kirchengeschichte, Historik, Systematik, Christologie, Erlösung, Rechtfertigung","","1.0","eng","On the Incarnation: De Incarnatione Verbi Dei","C:\Users\sever\Documents\temp\Athanasius\On the Incarnation_ De Incarnatione (24)\cover.jpg","On the Incarnation: De Incarnatione Verbi Dei","","0101-01-01T02:00:00+02:00","24","d7496ecc-1789-4f1e-b8aa-7686358ffd18"
"Augustinus","Augustinus","","temp","2022-10-04T21:08:31+02:00","pdf","663975","","","Bibliographie:
Vier Bücher über die christliche Lehre (De doctrina christiana) In: Des heiligen Kirchenvaters Aurelius Augustinus ausgewählte Schriften / aus dem Lateinischen übers. (Des heiligen Kirchenvaters Aurelius Augustinus ausgewählte Schriften Bd. 8; Bibliothek der Kirchenväter, 1. Reihe, Band 49) Kempten; München : J. Kösel : F. Pustet, 1925. Unter der Mitarbeit von: P. Beda Szukics
","Kirchenväter, Historik","","1.0","deu","Vier Bücher über die christliche Lehre","C:\Users\sever\Documents\temp\Augustinus\Vier Bucher uber die christliche Leh (25)\cover.jpg","Vier Bücher über die christliche Lehre","","0101-01-01T02:00:00+02:00","25","a3207fd3-72b9-4235-936e-95c25df858ad"
"Augustinus","Augustinus","","temp","0101-01-01T02:00:00+02:00","pdf","197885","","","","Systematik, Erwählung, Reformatorisch","","1.0","eng","A Treatise on the Predestination of the Saints","C:\Users\sever\Documents\temp\Augustinus\A Treatise on the Predestination of (26)\cover.jpg","Treatise on the Predestination of the Saints, A","","0101-01-01T02:00:00+02:00","26","7d8dba7c-bf91-45c9-bc5c-165df84b273a"
"Augustinus","Augustinus","","temp","0101-01-01T02:00:00+02:00","pdf","161904","","","","Kirchengeschichte, Historik","","1.0","eng","Enchiridion: On Faith, Hope, and Love","C:\Users\sever\Documents\temp\Augustinus\Enchiridion_ On Faith, Hope, and Lov (27)\cover.jpg","Enchiridion: On Faith, Hope, and Love","","0101-01-01T02:00:00+02:00","27","e531ac68-3c17-4d68-bf25-feb77cd6c55a"
"Augustinus","Augustinus","","temp","0101-01-01T02:00:00+02:00","pdf","16426250","","","","Kirchengeschichte, Historik","","1.0","deu","Confessiones: Bekenntnisse","C:\Users\sever\Documents\temp\Augustinus\Confessiones_ Bekenntnisse (28)\cover.jpg","Confessiones: Bekenntnisse","Artemis & Winkler","0101-01-01T02:00:00+02:00","28","f94f9929-df2e-410a-b4d0-ae731aed3255"
"Augustinus","Augustinus","","temp","2024-02-26T20:54:47+02:00","pdf","242798","","","","Kirchengeschichte, Historik, Kirchenväter, Glaube, Werke","","1.0","deu","Vom Glauben und von den Werken","C:\Users\sever\Documents\temp\Augustinus\Vom Glauben und von den Werken (29)\cover.jpg","Vom Glauben und von den Werken","","0101-01-01T02:00:00+02:00","29","88b7b8df-8581-4ca2-bdc2-0c5ebfa53783"
"Augustinus","Augustinus","","temp","0101-01-01T02:00:00+02:00","pdf","1552643","","","","Dreieinigkeit, Systematik, Historik, Kirchengeschichte, Kirchenväter","","1.0","deu","Fünfzehn Bücher über die Dreieinigkeit","C:\Users\sever\Documents\temp\Augustinus\Funfzehn Bucher uber die Dreieinigke (30)\cover.jpg","Fünfzehn Bücher über die Dreieinigkeit","","0101-01-01T02:00:00+02:00","30","eaf0da29-e2d6-4895-9164-eef51cac3b53"
"B＆H","B＆H","","temp","0101-01-01T02:00:00+02:00","epub","10633176","","","","Kinderarbeit, Illustration, Andacht","","1.0","eng","The Big Book of Bible Stories for Toddlers","C:\Users\sever\Documents\temp\B&H\The Big Book of Bible Stories for To (31)\cover.jpg","Big Book of Bible Stories for Toddlers, The","B&H","0101-01-01T02:00:00+02:00","31","a47f2432-5ca5-468d-89fc-4bc9bfebe8e4"
"Reiner Bamberger","Bamberger, Reiner","","temp","0101-01-01T02:00:00+02:00","pdf","524960","","","","Gemeinde, Dienst, Praktik, Leiterschaft","","1.0","deu","An einem Strang ziehen: Teamarbeit praktisch","C:\Users\sever\Documents\temp\Reiner Bamberger\An einem Strang ziehen_ Teamarbeit p (32)\cover.jpg","An einem Strang ziehen: Teamarbeit praktisch","Brunnen","0101-01-01T02:00:00+02:00","32","bacbaa1f-98fa-4b43-ae01-60851f8d5f7b"
"Reiner Bamberger","Bamberger, Reiner","","temp","0101-01-01T02:00:00+02:00","pdf","1520056","","","","Dienst, Gemeinde, Praktik, Leiterschaft","","1.0","deu","Teamaufbau und Teamrollen nach Belbin","C:\Users\sever\Documents\temp\Reiner Bamberger\Teamaufbau und Teamrollen nach Belbi (33)\cover.jpg","Teamaufbau und Teamrollen nach Belbin","FEG Schweiz","0101-01-01T02:00:00+02:00","33","3e31960a-545d-4912-97b9-8b6490462a45"
"Reiner Bamberger","Bamberger, Reiner","","temp","0101-01-01T02:00:00+02:00","png","343243","","","","Gemeinde, Dienst, Praktik, Leiterschaft, Seelsorge","","1.0","deu","Was ist ein Konflikt und wie entsteht er: Hilfreiche Grafik","C:\Users\sever\Documents\temp\Reiner Bamberger\Was ist ein Konflikt und wie entsteh (34)\cover.jpg","Was ist ein Konflikt und wie entsteht er: Hilfreiche Grafik","","0101-01-01T02:00:00+02:00","34","60e53ddf-41db-441e-83d1-d18cb2b930fa"
"Reiner Bamberger","Bamberger, Reiner","","temp","0101-01-01T02:00:00+02:00","pdf","33579","","","","Jugendarbeit, Bibel, Spiritualität, Andacht, Kleingruppe","","1.0","deu","Bibel teilen: Bibellesen als Gruppe","C:\Users\sever\Documents\temp\Reiner Bamberger\Bibel teilen_ Bibellesen als Gruppe (35)\cover.jpg","Bibel teilen: Bibellesen als Gruppe","","0101-01-01T02:00:00+02:00","35","33b20bf5-2907-48e2-a509-89d506c3995a"
"Reiner Bamberger","Bamberger, Reiner","","temp","0101-01-01T02:00:00+02:00","pdf","3478146","","","","Evangelisation, Gemeinde, Dienst, Praktik, Jugendarbeit","","1.0","deu","Leben das Kreise zieht: Praxis-Handbuch für missionarisches und diakonisches Engagement","C:\Users\sever\Documents\temp\Reiner Bamberger\Leben das Kreise zieht_ Praxis-Handb (36)\cover.jpg","Leben das Kreise zieht: Praxis-Handbuch für missionarisches und diakonisches Engagement","","0101-01-01T02:00:00+02:00","36","a17c1abd-1862-4542-8e6f-cedad6907fef"
"Roscoe Barnes","Barnes, Roscoe","","temp","0101-01-01T02:00:00+02:00","pdf","775107","","","","Heilung, Geistesgaben, Historik","","1.0","eng","F. F. Bosworth A Profile in Divine Healing","C:\Users\sever\Documents\temp\Roscoe Barnes\F. F. Bosworth A Profile in Divine H (37)\cover.jpg","F. F. Bosworth A Profile in Divine Healing","","0101-01-01T02:00:00+02:00","37","2b0f5f46-653d-4b39-9744-029911ecfda7"
"Roscoe Barnes","Barnes, Roscoe","","temp","0101-01-01T02:00:00+02:00","pdf","1741609","","","","Heilung, Historik, Geistesgaben","","1.0","eng","F.F. Bosworth: A Historical Analysis of the Inflential Factors in His Life and Ministry","C:\Users\sever\Documents\temp\Roscoe Barnes\F.F. Bosworth_ A Historical Analysis (38)\cover.jpg","F.F. Bosworth: A Historical Analysis of the Inflential Factors in His Life and Ministry","University of Pretoria","0101-01-01T02:00:00+02:00","38","95ff0fdf-df7b-4b83-8c05-8f1ba9e93a39"
"Matthew Barrett","Barrett, Matthew","","temp","0101-01-01T02:00:00+02:00","epub","1027025","","","","Systematik, Dogmatik, Reformatorisch","","1.0","eng","Reformation Theology: A Systematic Summary","C:\Users\sever\Documents\temp\Matthew Barrett\Reformation Theology_ A Systematic S (39)\cover.jpg","Reformation Theology: A Systematic Summary","Crossway","0101-01-01T02:00:00+02:00","39","ca4c6656-4af1-4062-aae7-ad64e4884827"
"Karl Barth","Barth, Karl","","temp","0101-01-01T02:00:00+02:00","pdf","840748","","","","Kommentar, NT, Römer","","1.0","eng","A Shorter Commentary on Romans","C:\Users\sever\Documents\temp\Karl Barth\A Shorter Commentary on Romans (40)\cover.jpg","Shorter Commentary on Romans, A","Ashgate","0101-01-01T02:00:00+02:00","40","536c8fb3-00c1-43ac-9359-ea1364edb7e8"
"Karl Barth","Barth, Karl","","temp","0101-01-01T02:00:00+02:00","pdf","2144421","","","","Kommentar, AT, Jesaja","","1.0","eng","Barth's Theological Exegesis of Isaiah","C:\Users\sever\Documents\temp\Karl Barth\Barth's Theological Exegesis of Isai (41)\cover.jpg","Barth's Theological Exegesis of Isaiah","Ashgate","0101-01-01T02:00:00+02:00","41","7d75536b-3a6f-409e-8925-205f2a23488e"
"Karl Barth","Barth, Karl","","temp","0101-01-01T02:00:00+02:00","pdf","38106311","","","","Kommentar, NT, Römer","","1.0","eng","The Epistle to the Romans","C:\Users\sever\Documents\temp\Karl Barth\The Epistle to the Romans (42)\cover.jpg","Epistle to the Romans, The","Oxford University Press","0101-01-01T02:00:00+02:00","42","a483c64f-30b5-4587-88ff-bb5edf40fb0a"
"Karl Barth","Barth, Karl","","temp","0101-01-01T02:00:00+02:00","epub","6666194","","","","Kommentar, NT, Epheser","","1.0","eng","The Epistle to the Ephesians","C:\Users\sever\Documents\temp\Karl Barth\The Epistle to the Ephesians (43)\cover.jpg","Epistle to the Ephesians, The","Baker Publishing Group","0101-01-01T02:00:00+02:00","43","148a83f9-9b49-46df-b3b6-b3cac6b2a1dc"
"Joachim Bauer","Bauer, Joachim","","temp","0101-01-01T02:00:00+02:00","pdf","61023187","","","Die Intuition ist die «menschliche Komponente» der prophetischen Rede.
","Gefühle, Seelsorge, Prophetie, Nicht-Christlich, Intuition","","1.0","deu","Warum ich fühle, was du fühlst: Intuitive Kommunikation und das Geheimnis der Spiegelneurone","C:\Users\sever\Documents\temp\Joachim Bauer\Warum ich fuhle, was du fuhlst_ Intu (44)\cover.jpg","Warum ich fühle, was du fühlst: Intuitive Kommunikation und das Geheimnis der Spiegelneurone","Heyne","0101-01-01T02:00:00+02:00","44","8c6489be-aace-4e7f-95f5-8525cccd0a84"
"Joachim Bauer","Bauer, Joachim","","temp","0101-01-01T02:00:00+02:00","pdf","1155142","","","","Wissenschaft, Nicht-Christlich","","1.0","deu","Das Gedächtnis des Körpers: Wie Beziehungen und Lebensstile unsere Gene steuern","C:\Users\sever\Documents\temp\Joachim Bauer\Das Gedachtnis des Korpers_ Wie Bezi (45)\cover.jpg","Gedächtnis des Körpers: Wie Beziehungen und Lebensstile unsere Gene steuern, Das","Eichborn","0101-01-01T02:00:00+02:00","45","22a9f15e-07d2-499c-b4b6-d21dc5b95a0a"
"Otto Bauernfeind","Bauernfeind, Otto","","temp","0101-01-01T02:00:00+02:00","pdf","45348707","","","","Kommentar, NT, Apostelgeschichte","","1.0","deu","Kommentar und Studien zur Apostelgeschichte","C:\Users\sever\Documents\temp\Otto Bauernfeind\Kommentar und Studien zur Apostelges (46)\cover.jpg","Kommentar und Studien zur Apostelgeschichte","Paul Siebeck","0101-01-01T02:00:00+02:00","46","11653bd1-0251-4292-88e0-7c9870ad76ce"
"Herman Bavinck","Bavinck, Herman","","temp","0101-01-01T02:00:00+02:00","pdf","126093","","","","Systematik, Calvinismus, Allgemeine Gnade","","1.0","eng","Calvin and Common Grace","C:\Users\sever\Documents\temp\Herman Bavinck\Calvin and Common Grace (47)\cover.jpg","Calvin and Common Grace","","0101-01-01T02:00:00+02:00","47","b9730cb0-a2d2-4b04-a3cc-b2d614c6af01"
"Herman Bavinck","Bavinck, Herman","","temp","0101-01-01T02:00:00+02:00","pdf","2208908","","","","Soteriologie, Systematik, Erlösung, Gnade","","1.0","eng","Saved by Grace: The Holy Spirit's Work in Calling and Regeneration","C:\Users\sever\Documents\temp\Herman Bavinck\Saved by Grace_ The Holy Spirit's Wo (48)\cover.jpg","Saved by Grace: The Holy Spirit's Work in Calling and Regeneration","Reformation Heritage Books","0101-01-01T02:00:00+02:00","48","7930ca67-0738-4192-9bce-42392f3d0487"
"Herman Bavinck & John Bolt","Bavinck, Herman & Bolt, John","","temp","0101-01-01T02:00:00+02:00","epub","4017751","","","","Systematik, Dogmatik","","1.0","eng","Reformed Dogmatics: Abridged in One Volume","C:\Users\sever\Documents\temp\Herman Bavinck\Reformed Dogmatics_ Abridged in One (49)\cover.jpg","Reformed Dogmatics: Abridged in One Volume","Baker Publishing Group","0101-01-01T02:00:00+02:00","49","97c54754-0bb2-48dc-8429-4c1a81c4cbfd"
"Richard Baxter","Baxter, Richard","","temp","0101-01-01T02:00:00+02:00","epub","877716","","","","Predigen, Ekklesiologie, Reformatorisch","","1.0","eng","The Reformed Pastor","C:\Users\sever\Documents\temp\Richard Baxter\The Reformed Pastor (50)\cover.jpg","Reformed Pastor, The","Crossway","0101-01-01T02:00:00+02:00","50","a726bb20-7682-43bc-ae7c-d79ca4806b0d"
"G. K. Beale & D. A. Carson","Beale, G. K. & Carson, D. A.","","temp","0101-01-01T02:00:00+02:00","epub","2582619","","","","Kommentar, NT, Alle-NT","","1.0","eng","Commentary on the New Testament Use of the Old Testament","C:\Users\sever\Documents\temp\G. K. Beale\Commentary on the New Testament Use (51)\cover.jpg","Commentary on the New Testament Use of the Old Testament","Baker Publishing Group","0101-01-01T02:00:00+02:00","51","21d0e52e-4f56-45ba-984d-d56ec6e5ebc6"
"John A. Beck","Beck, John A.","","temp","0101-01-01T02:00:00+02:00","epub","29615690","","","","Lexikon, Illustration","","1.0","eng","The Baker Illustrated Guide to Everyday Life in Bible Times","C:\Users\sever\Documents\temp\John A. Beck\The Baker Illustrated Guide to Every (52)\cover.jpg","Baker Illustrated Guide to Everyday Life in Bible Times, The","Baker Publishing Group","0101-01-01T02:00:00+02:00","52","ffd5971f-db84-4e45-bdfb-b1a2ba276c0e"
"Zoë Bee","Bee, Zoë","","temp","0101-01-01T02:00:00+02:00","epub","2846890","","","","Esoterik, Biografie","","1.0","deu","Lichtfängerin: Mein langer Weg von New Age nach Bethlehem","C:\Users\sever\Documents\temp\Zoe Bee\Lichtfangerin_ Mein langer Weg von N (53)\cover.jpg","Lichtfängerin: Mein langer Weg von New Age nach Bethlehem","Fontis","0101-01-01T02:00:00+02:00","53","de7c4726-558c-447d-9327-3bed8066ac54"
"Joel R. Beeke","Beeke, Joel R.","","temp","0101-01-01T02:00:00+02:00","epub","736267","","","","Predigen, Reformatorisch","","1.0","eng","Reformed Preaching: Proclaiming God's Word from the Heart of the Preacher to the Heart of his People","C:\Users\sever\Documents\temp\Joel R. Beeke\Reformed Preaching_ Proclaiming God' (54)\cover.jpg","Reformed Preaching: Proclaiming God's Word from the Heart of the Preacher to the Heart of his People","Crossway","0101-01-01T02:00:00+02:00","54","9b4609e2-477a-449b-9227-f4f0db2198aa"
"Joel R. Beeke & Mark Jones","Beeke, Joel R. & Jones, Mark","","temp","0101-01-01T02:00:00+02:00","epub","3319970","","","","Puritanisch, Dogmatik, Systematik, Übersetzt","","1.0","deu","A Puritan Theology: Doctrine for Life - Deutsch","C:\Users\sever\Documents\temp\Joel R. Beeke\A Puritan Theology_ Doctrine for Lif (55)\cover.jpg","Puritan Theology: Doctrine for Life - Deutsch, A","Reformation Heritage Books","0101-01-01T02:00:00+02:00","55","b645ddc4-0d95-4985-8f9d-890e1866617c"
"Joel R. Beeke & Mark Jones","Beeke, Joel R. & Jones, Mark","","temp","0101-01-01T02:00:00+02:00","pdf","12796383","","","","Systematik, Dogmatik, Puritanisch","","1.0","eng","A Puritan Theology: Doctrine for Life","C:\Users\sever\Documents\temp\Joel R. Beeke\A Puritan Theology_ Doctrine for Lif (56)\cover.jpg","Puritan Theology: Doctrine for Life, A","Reformation Heritage Books","0101-01-01T02:00:00+02:00","56","137e3c38-6e57-41bf-8b43-31fc5dfa1b83"
"Joel R. Beeke & Derek W. H. Thomas","Beeke, Joel R. & Thomas, Derek W. H.","","temp","0101-01-01T02:00:00+02:00","pdf","2013119","","","","Heiliger Geist, Reformatorisch, Spiritualität","","1.0","eng","The Holy Spirit and Reformed Spirituality: A Tribute to Geoffrey Thomas","C:\Users\sever\Documents\temp\Joel R. Beeke\The Holy Spirit and Reformed Spiritu (57)\cover.jpg","Holy Spirit and Reformed Spirituality: A Tribute to Geoffrey Thomas, The","Reformation Heritage Books","0101-01-01T02:00:00+02:00","57","27ccd6a4-5e01-468e-ade5-9eedac7f9d2c"
